nome_planta
Aleisanthiopsis multiflora
Alepidea acutidens
Alepidocline macdonaldana
Aletris bracteata
Aleuritopteris confundans
Alexa bauhiniiflora
Alexgeorgea ganopoda
Alfaroa costaricensis
Alfredia aspera
Algaria natalieae
Algernonia glazioui
Algrizea minor
Alhagi brevispina
Alibertia occidentalis
Aliciella cliffordii
Aligrimmia peruviana
Alisma bjoerkqvistii
Alistilus bechuanicus
Alkanna amana
Allagoptera brevicalyx
Allamanda alagoana
Allanblackia kimbiliensis
Allantospermum borneense
Alleizettella rubra
Alleniella aegaea
Allenrolfea vaginata
Allexis zygomorpha
Allisoniella recurva
Allium aaseae
Allmaniopsis fruticulosa
Allocasuarina anfractuosa
Allocephalus gamolepis
Allocheilos villosus
Alloeochaete geniculata
Alloispermum insuetum
Allomaieta caucana
Allomarkgrafia antioquiana
Alloneuron liron
Allophylastrum frutescens
Allophyllum nemophilophyllum
Allophylus acutatus
Alloplectus aquatilis
Alloschemone inopinata
Allosidastrum dolichophyllum
Allostigma guangxiense
Allosyncarpia ternata
Alloteropsis angusta
Allotropa virgata
Allowissadula chiangii
Allowoodsonia whitmorei
Alloxylon flammeum
Alluaudia montagnacii
Alluaudiopsis fiherenensis
Alniphyllum eberhardtii
Alnus betulifolia
Alocasia acuminata
Aloe aaata
Aloina cornifolia
Aloinella boliviana
Alomia alata
Alomiella hatschbachii
Alonsoa auriculata
Alopecurus albovii
Alophia graniticola
Aloysia arequipensis
Alphandia furfuracea
Alphitonia carolinensis
Alphonsea annulata
Alpinia adana
Alseis blackiana
Alseodaphne birmanica
Alseodaphnopsis maguanensis
Alseuosmia banksii
Alsobia baroniae
Alsodeiopsis chippii
Alsophila australis
Alstonia beatricis
Alstroemeria achirae
Altensteinia citrina
Alternanthera adscendens
Althaea hiri
Althenia filiformis
Altoparadisium chapadense
Aluta quadrata
Alvaradoa amorphoides
Alvimia lancifolia
Alvimiantha tricamerata
Alvordia glomerata
Alysicarpus aurantiacus
Alyssopsis trinervis
Alyssum aizoides
Alyxia angustissima
Amaioua brevidentata
Amalophyllon clarkii
Amana baohuaensis
Amanoa caribaea
Amaracarpus acuminatus
Amaranthus acanthobracteatus
Amaryllis paradisicola
Amasonia arborea
Amauria brandegeeana
Amauropelta deminuta
Ambelania duckei
Amberboa bucharica
Amblyanthopsis burmanica
Amblyanthus chenii
Amblyocarpum inuloides
Amblystegium arvernense
Ambongia perrieri
Amborella trichopoda
Amboroa geminata
Ambrella longituba
Ambrosia bidentata
Amburana erythrosperma
Ameghinoa patagonica
Amelanchier parviflora
Amelasorbus jackii
Amellus alternifolius
Amentotaxus hekouensis
Ameroglossum alatum
Amesiodendron tienlinensis
Amherstia nobilis
Amicia fimbriata
Amischotolype barbarossa
Ammannia coccinea
Ammobium craspedioides
Ammocharis deserticola
Ammodendron persicum
Ammoselinum occidentale
Ammosperma cinerea
Amoana latipetala
Amomum alborubellum
Amorimia andersonii
Amorpha apiculata
Amorphophallus adamsensis
Ampelocalamus sinovietnamensis
Ampelocera albertiae
Ampelocissus amentaceus
